  6.6792167617D-06 2.12022D+09 4.05262D+05 2.86042D+00 4.98480D+02 7.000D-01
  9.4356788084D-06 3.05875D+09 4.38097D+05 2.84223D+00 4.98480D+02 7.000D-01
  1.3208614565D-05 4.37705D+09 4.73207D+05 2.82328D+00 4.98480D+02 7.000D-01
  1.8319308216D-05 6.21188D+09 5.10791D+05 2.80359D+00 4.98480D+02 7.000D-01
  2.5178631214D-05 8.74539D+09 5.50970D+05 2.78316D+00 4.98480D+02 7.000D-01
  3.4312127505D-05 1.22206D+10 5.93788D+05 2.76195D+00 4.98480D+02 7.000D-01
  4.6394415738D-05 1.69631D+10 6.39201D+05 2.73992D+00 4.98480D+02 7.000D-01
  6.2286390051D-05 2.34076D+10 6.87129D+05 2.71706D+00 4.98480D+02 7.000D-01
  8.3074369657D-05 3.21303D+10 7.37521D+05 2.69333D+00 4.98480D+02 7.000D-01
  1.1011048283D-04 4.38874D+10 7.90404D+05 2.66873D+00 4.98480D+02 7.000D-01
  1.4505164619D-04 5.96601D+10 8.45916D+05 2.64330D+00 4.98480D+02 7.000D-01
  1.8989356264D-04 8.07056D+10 9.04328D+05 2.61707D+00 4.98480D+02 7.000D-01
  2.4699604178D-04 1.08612D+11 9.66050D+05 2.59009D+00 4.98480D+02 7.000D-01
  3.1909801779D-04 1.45361D+11 1.03162D+06 2.56242D+00 4.98480D+02 7.000D-01
  4.0934111387D-04 1.93400D+11 1.10163D+06 2.53411D+00 4.98480D+02 7.000D-01
  5.2139313930D-04 2.55790D+11 1.17655D+06 2.50517D+00 4.98480D+02 7.000D-01
  6.5959799737D-04 3.36401D+11 1.25666D+06 2.47559D+00 4.98480D+02 7.000D-01
  8.2912389285D-04 4.40150D+11 1.34204D+06 2.44533D+00 4.98480D+02 7.000D-01
  1.0361292292D-03 5.73305D+11 1.43266D+06 2.41435D+00 4.98480D+02 7.000D-01
  1.2879423997D-03 7.43868D+11 1.52843D+06 2.38260D+00 4.98480D+02 7.000D-01
  1.5932529996D-03 9.62061D+11 1.62921D+06 2.35004D+00 4.98480D+02 7.000D-01
  1.9623132651D-03 1.24093D+12 1.73493D+06 2.31666D+00 4.98480D+02 7.000D-01
  2.4071491618D-03 1.59709D+12 1.84554D+06 2.28244D+00 4.98480D+02 7.000D-01
  2.9417811738D-03 2.05169D+12 1.96112D+06 2.24739D+00 4.98480D+02 7.000D-01
  3.5824569540D-03 2.63159D+12 2.08183D+06 2.21153D+00 4.98480D+02 7.000D-01
  4.3479037478D-03 3.37083D+12 2.20795D+06 2.17489D+00 4.98480D+02 7.000D-01
  5.2596489074D-03 4.31256D+12 2.33982D+06 2.13750D+00 4.98480D+02 7.000D-01
  6.3424961128D-03 5.51163D+12 2.47776D+06 2.09941D+00 4.98480D+02 7.000D-01
  7.6250237850D-03 7.03785D+12 2.62206D+06 2.06064D+00 4.98480D+02 7.000D-01
  9.1400796912D-03 8.98014D+12 2.77298D+06 2.02123D+00 4.98480D+02 7.000D-01
