  6.4487530117D-04 8.91496D+04 1.29802D+04 4.92623D+01 4.71570D+02 7.300D-01
  7.8193103899D-04 1.10308D+05 1.33088D+04 4.89100D+01 4.71561D+02 7.300D-01
  9.4498161694D-04 1.36215D+05 1.36485D+04 4.85532D+01 4.71549D+02 7.300D-01
  1.1386275367D-03 1.67903D+05 1.39961D+04 4.81902D+01 4.71535D+02 7.300D-01
  1.3690503835D-03 2.06765D+05 1.43470D+04 4.78203D+01 4.71518D+02 7.300D-01
  1.6427092433D-03 2.54367D+05 1.47039D+04 4.74449D+01 4.71498D+02 7.300D-01
  1.9669987253D-03 3.12581D+05 1.50699D+04 4.70656D+01 4.71473D+02 7.300D-01
  2.3502638071D-03 3.83618D+05 1.54486D+04 4.66836D+01 4.71443D+02 7.300D-01
  2.8017773355D-03 4.70055D+05 1.58432D+04 4.63000D+01 4.71406D+02 7.300D-01
  3.3317183540D-03 5.74874D+05 1.62570D+04 4.59156D+01 4.71362D+02 7.300D-01
  3.9511763943D-03 7.01495D+05 1.66927D+04 4.55308D+01 4.71309D+02 7.300D-01
  4.6722004418D-03 8.53838D+05 1.71521D+04 4.51456D+01 4.71246D+02 7.300D-01
  5.5079409490D-03 1.03641D+06 1.76359D+04 4.47595D+01 4.71171D+02 7.300D-01
  6.4728382486D-03 1.25440D+06 1.81436D+04 4.43717D+01 4.71082D+02 7.300D-01
  7.5827680230D-03 1.51382D+06 1.86739D+04 4.39815D+01 4.70976D+02 7.300D-01
  8.8550916778D-03 1.82161D+06 1.92246D+04 4.35877D+01 4.70852D+02 7.300D-01
  1.0308543316D-02 2.18571D+06 1.97939D+04 4.31898D+01 4.70705D+02 7.300D-01
  1.1962904600D-02 2.61509D+06 2.03801D+04 4.27873D+01 4.70533D+02 7.300D-01
  1.3838410953D-02 3.11971D+06 2.09831D+04 4.23803D+01 4.70332D+02 7.300D-01
  1.5954759572D-02 3.71033D+06 2.16042D+04 4.19692D+01 4.70099D+02 7.300D-01
  1.8329399924D-02 4.39801D+06 2.22473D+04 4.15552D+01 4.69830D+02 7.300D-01
  2.0974362686D-02 5.19306D+06 2.29203D+04 4.11402D+01 4.69521D+02 7.300D-01
  2.3889776493D-02 6.10275D+06 2.36377D+04 4.07273D+01 4.69170D+02 7.300D-01
  2.7048107636D-02 7.12539D+06 2.44287D+04 4.03215D+01 4.68778D+02 7.300D-01
  3.0493270640D-02 8.28260D+06 2.52676D+04 3.99181D+01 4.68335D+02 7.300D-01
  3.4254577886D-02 9.59317D+06 2.61424D+04 3.95147D+01 4.67835D+02 7.300D-01
  3.8342638759D-02 1.10709D+07 2.70538D+04 3.91116D+01 4.67273D+02 7.300D-01
  4.2764565438D-02 1.27290D+07 2.80038D+04 3.87092D+01 4.66644D+02 7.300D-01
  4.7523308037D-02 1.45801D+07 2.89954D+04 3.83079D+01 4.65942D+02 7.300D-01
  5.2617273377D-02 1.66355D+07 3.00322D+04 3.79084D+01 4.65165D+02 7.300D-01
  5.8040223838D-02 1.89048D+07 3.11189D+04 3.75112D+01 4.64308D+02 7.300D-01
  6.3781695134D-02 2.13960D+07 3.22610D+04 3.71171D+01 4.63367D+02 7.300D-01
  6.9828226018D-02 2.41157D+07 3.34635D+04 3.67264D+01 4.62339D+02 7.300D-01
  7.6165608651D-02 2.70696D+07 3.47309D+04 3.63394D+01 4.61222D+02 7.300D-01
  8.2782142907D-02 3.02645D+07 3.60656D+04 3.59562D+01 4.60011D+02 7.300D-01
  8.9672447276D-02 3.37103D+07 3.74660D+04 3.55763D+01 4.58701D+02 7.300D-01
  9.6840748976D-02 3.74223D+07 3.89260D+04 3.51986D+01 4.57285D+02 7.300D-01
  1.0430206120D-01 4.14225D+07 4.04341D+04 3.48218D+01 4.55754D+02 7.300D-01
  1.1208002259D-01 4.57401D+07 4.19747D+04 3.44446D+01 4.54097D+02 7.300D-01
  1.2020843299D-01 5.04128D+07 4.35271D+04 3.40653D+01 4.52301D+02 7.300D-01
  1.2876534520D-01 5.55087D+07 4.50497D+04 3.36809D+01 4.50341D+02 7.300D-01
  1.3771651411D-01 6.10335D+07 4.65555D+04 3.32937D+01 4.48221D+02 7.300D-01
  1.4703422008D-01 6.69952D+07 4.80531D+04 3.29053D+01 4.45942D+02 7.300D-01
  1.5669445651D-01 7.34030D+07 4.95485D+04 3.25169D+01 4.43504D+02 7.300D-01
  1.6667565135D-01 8.02669D+07 5.10460D+04 3.21294D+01 4.40908D+02 7.300D-01
  1.7695805191D-01 8.75969D+07 5.25484D+04 3.17434D+01 4.38154D+02 7.300D-01
  1.8752344183D-01 9.54034D+07 5.40572D+04 3.13594D+01 4.35242D+02 7.300D-01
  1.9835501458D-01 1.03697D+08 5.55730D+04 3.09777D+01 4.32171D+02 7.300D-01
  2.0943730320D-01 1.12489D+08 5.70955D+04 3.05985D+01 4.28943D+02 7.300D-01
  2.2075610841D-01 1.21790D+08 5.86236D+04 3.02219D+01 4.25556D+02 7.300D-01
  2.3229840035D-01 1.31613D+08 6.01555D+04 2.98480D+01 4.22012D+02 7.300D-01
  2.4405217933D-01 1.41969D+08 6.16887D+04 2.94769D+01 4.18309D+02 7.300D-01
  2.5600626961D-01 1.52871D+08 6.32205D+04 2.91084D+01 4.14448D+02 7.300D-01
  2.6815009395D-01 1.64332D+08 6.47477D+04 2.87426D+01 4.10430D+02 7.300D-01
  2.8047343978D-01 1.76364D+08 6.62670D+04 2.83794D+01 4.06255D+02 7.300D-01
  2.9296623917D-01 1.88981D+08 6.77752D+04 2.80188D+01 4.01925D+02 7.300D-01
  3.0561838242D-01 2.02194D+08 6.92692D+04 2.76607D+01 3.97442D+02 7.300D-01
  3.1841957908D-01 2.16015D+08 7.07462D+04 2.73051D+01 3.92808D+02 7.300D-01
  3.3135927214D-01 2.30455D+08 7.22036D+04 2.69519D+01 3.88025D+02 7.300D-01
  3.4442660608D-01 2.45523D+08 7.36394D+04 2.66012D+01 3.83097D+02 7.300D-01
  3.5761046783D-01 2.61227D+08 7.50520D+04 2.62528D+01 3.78028D+02 7.300D-01
  3.7087519101D-01 2.77547D+08 7.64548D+04 2.59075D+01 3.72832D+02 7.300D-01
  3.8417226594D-01 2.94436D+08 7.78705D+04 2.55660D+01 3.67526D+02 7.300D-01
  3.9749060192D-01 3.11894D+08 7.92980D+04 2.52281D+01 3.62113D+02 7.300D-01
  4.1081982136D-01 3.29919D+08 8.07364D+04 2.48937D+01 3.56598D+02 7.300D-01
  4.2415019682D-01 3.48511D+08 8.21847D+04 2.45626D+01 3.50982D+02 7.300D-01
  4.3747258594D-01 3.67667D+08 8.36416D+04 2.42346D+01 3.45270D+02 7.300D-01
  4.5077836703D-01 3.87386D+08 8.51060D+04 2.39095D+01 3.39464D+02 7.300D-01
  4.6405937784D-01 4.07667D+08 8.65766D+04 2.35871D+01 3.33568D+02 7.300D-01
  4.7730785916D-01 4.28508D+08 8.80522D+04 2.32673D+01 3.27586D+02 7.300D-01
  4.9051640483D-01 4.49907D+08 8.95316D+04 2.29499D+01 3.21521D+02 7.300D-01
  5.0367791851D-01 4.71863D+08 9.10136D+04 2.26348D+01 3.15377D+02 7.300D-01
  5.1678557406D-01 4.94373D+08 9.24971D+04 2.23217D+01 3.09157D+02 7.300D-01
  5.2983278369D-01 5.17436D+08 9.39813D+04 2.20105D+01 3.02866D+02 7.300D-01
  5.4281317307D-01 5.41048D+08 9.54651D+04 2.17011D+01 2.96507D+02 7.300D-01
  5.5572056206D-01 5.65208D+08 9.69479D+04 2.13934D+01 2.90085D+02 7.300D-01
  5.6854894995D-01 5.89912D+08 9.84288D+04 2.10871D+01 2.83605D+02 7.300D-01
  5.8129250421D-01 6.15158D+08 9.99074D+04 2.07823D+01 2.77069D+02 7.300D-01
